Key,File,Type,english
dcsModSuperGlasses7,item_modifiers,Mod,"Mod Super Glasses T7"
dcsModSuperGlasses7Desc,item_modifiers,Mod,"This mod increase the list of attributes.\n* [Int, Per, Agi, For, Str] in 7.\n* Buy and Sell at trader in 24%.\n* Gain xp in 80%.\n* Loot game stage in 24."

dcsModSuperGlasses8,item_modifiers,Mod,"Mod Super Glasses T8"
dcsModSuperGlasses8Desc,item_modifiers,Mod,"This mod increase the list of attributes.\n* [Int, Per, Agi, For, Str] in 8.\n* Buy and Sell at trader in 27%.\n* Gain xp in 90%.\n* Loot game stage in 27."

dcsModSuperGlasses9,item_modifiers,Mod,"Mod Super Glasses T9"
dcsModSuperGlasses9Desc,item_modifiers,Mod,"This mod increase the list of attributes.\n* [Int, Per, Agi, For, Str] in 9.\n* Buy and Sell at trader in 30%.\n* Gain xp in 100%.\n* Loot game stage in 30."

dcsModHealth1,item_modifiers,Mod,"Mod Health + 10"
dcsModHealth1Desc,item_modifiers,Mod,"This mod increase 10 in Health."

dcsModHealth2,item_modifiers,Mod,"Mod Health + 20"
dcsModHealth2Desc,item_modifiers,Mod,"This mod increase 20 in Health."

dcsModHealth3,item_modifiers,Mod,"Mod Health + 30"
dcsModHealth3Desc,item_modifiers,Mod,"This mod increase 30 in Health."

dcsModHealth4,item_modifiers,Mod,"Mod Health + 40"
dcsModHealth4Desc,item_modifiers,Mod,"This mod increase 40 in Health."

dcsModHealth5,item_modifiers,Mod,"Mod Health + 50"
dcsModHealth5Desc,item_modifiers,Mod,"This mod increase 50 in Health."

dcsModHealth6,item_modifiers,Mod,"Mod Health + 60"
dcsModHealth6Desc,item_modifiers,Mod,"This mod increase 60 in Health."

dcsModHealth7,item_modifiers,Mod,"Mod Health + 70"
dcsModHealth7Desc,item_modifiers,Mod,"This mod increase 70 in Health."

dcsModHealth8,item_modifiers,Mod,"Mod Health + 80"
dcsModHealth8Desc,item_modifiers,Mod,"This mod increase 80 in Health."

dcsModHealth9,item_modifiers,Mod,"Mod Health + 90"
dcsModHealth9Desc,item_modifiers,Mod,"This mod increase 90 in Health."

dcsModHealth10,item_modifiers,Mod,"Mod Health + 100"
dcsModHealth10Desc,item_modifiers,Mod,"This mod increase 100 in Health."


dcsModStamina1,item_modifiers,Mod,"Mod Stamina + 10"
dcsModStamina1Desc,item_modifiers,Mod,"This mod increase 10 in Stamina."

dcsModStamina2,item_modifiers,Mod,"Mod Stamina + 20"
dcsModStamina2Desc,item_modifiers,Mod,"This mod increase 20 in Stamina."

dcsModStamina3,item_modifiers,Mod,"Mod Stamina + 30"
dcsModStamina3Desc,item_modifiers,Mod,"This mod increase 30 in Stamina."

dcsModStamina4,item_modifiers,Mod,"Mod Stamina + 40"
dcsModStamina4Desc,item_modifiers,Mod,"This mod increase 40 in Stamina."

dcsModStamina5,item_modifiers,Mod,"Mod Stamina + 50"
dcsModStamina5Desc,item_modifiers,Mod,"This mod increase 50 in Stamina."

dcsModStamina6,item_modifiers,Mod,"Mod Stamina + 60"
dcsModStamina6Desc,item_modifiers,Mod,"This mod increase 60 in Stamina."

dcsModStamina7,item_modifiers,Mod,"Mod Stamina + 70"
dcsModStamina7Desc,item_modifiers,Mod,"This mod increase 70 in Stamina."

dcsModStamina8,item_modifiers,Mod,"Mod Stamina + 80"
dcsModStamina8Desc,item_modifiers,Mod,"This mod increase 80 in Stamina."

dcsModStamina9,item_modifiers,Mod,"Mod Stamina + 90"
dcsModStamina9Desc,item_modifiers,Mod,"This mod increase 90 in Stamina."

dcsModStamina10,item_modifiers,Mod,"Mod Stamina + 100"
dcsModStamina10Desc,item_modifiers,Mod,"This mod increase 100 in Stamina."
